artist,tempo,,,
Ultraviolence,210.47,,,
David Summers,132.858,,,
Kali,138.048,,,
Regina Belle,67.745000000000005,,,
Ma Rainey,99.075999999999993,,,
Raze,108.831,,,
Out Of The Grey,153.642,,,
Less Than Jake,170.41200000000001,,,
Sivuca,224.24700000000001,,,
Boondox,200.00399999999999,,,
George Michael,127.84399999999999,,,
Arsonists Get All The Girls,129.82400000000001,,,
"Dave ""Baby"" Cortez",185.559,,,
Deborah Coleman,127.122,,,
The Ghost Of Lemora,136.88999999999999,,,
Eddie Turner,91.084000000000003,,,
Dave And Ansel Collins,117.157,,,
Rihanna,85.975999999999999,,,
Natural Elements,107.92700000000001,,,
Tiny Tim,117.236,,,
Mannheim Steamroller,154.69499999999999,,,
Wailing Souls,130.42699999999999,,,
The Mustangs,117.044,,,
Space Opera,95.736000000000004,,,
Bangalafumenga,77.409999999999997,,,
Abbott & Chambers,129.95599999999999,,,
Bob Newhart,133.721,,,
Michael Salgado,206.637,,,
Sandy Lam,125.251,,,
The Perrys,111.959,,,
Akon / Kardinal Offishall,100.364,,,
Pascal Obispo,130.05699999999999,,,
Bare Jr.,91.972999999999999,,,
Frederic Galliano,81.983000000000004,,,
Bobby Hutcherson,86.445999999999998,,,
Bob Margolin,108.496,,,
Tiny Tim,105.84999999999999,,,
Rajery,132.666,,,
All Shall Persih,99.962999999999994,,,
Lester Bowie,94.775999999999996,,,
Lee Ritenour,148.87899999999999,,,
A Ghost Devotion,137.97300000000001,,,
We Show Up On Radar,80.028999999999996,,,
Billie Jo Spears,119.053,,,
Dave Brockie Experience,99.959000000000003,,,
Joi,120.006,,,
Jope Ruonansuu,111.004,,,
Chris Brown,89.965999999999994,,,
Chris Eaton,100.771,,,
Ginny Owens,120.16800000000001,,,
Obie Bermudez,109.23,,,
Beenie Man,95.697000000000003,,,
Jack Off Jill,156.804,,,
Taking Back Sunday,165.14500000000001,,,
Michael Card,93.542000000000002,,,
The Fureys,117.84999999999999,,,
Alceu Valença,121.988,,,
The Misfits,111.15300000000001,,,
The Cure,165.303,,,
R.E.M.,138.703,,,
T-Bone,96.007000000000005,,,
Eko Fresh feat. G-Style,93.203000000000003,,,
Cutting Edge,145.077,,,
Jaime Jamgochian,151.93899999999999,,,
Madonna,129.97399999999999,,,
My Chemical Romance,93,,,
Pery Ribeiro,107.60599999999999,,,
The Florida Boys,70.286000000000001,,,
Anna Meliti,89.021000000000001,,,
Vorstadtkinder,179.81999999999999,,,
Ann Hampton Callaway;Laura Benanti;Michael Gruber;Everett Bradley,194.03899999999999,,,
Darwin Hobbs,111.417,,,
The Motors,154.167,,,
LORE,125.98399999999999,,,
Julio Iglesias Jr,150.071,,,
R.E.M.,107.55,,,
Bob Willis,121.923,,,
Markus,130.023,,,
Jack Johnson,241.81800000000001,,,
Bounty Killer,159.798,,,
Mike Bloomfield,167.553,,,
Daath,123.033,,,
3 Doors Down,143.69900000000001,,,
Mix Mob,187.28399999999999,,,
Four Tet,124.04300000000001,,,
Guaco,169.131,,,
Henri Pousseur,89.466999999999999,,,
Yuppie Pricks,155.12700000000001,,,
Huey Dunbar,98.998000000000005,,,
David Rose & His Orchestra,84.688000000000002,,,
Light Of The World,120.444,,,
Papa Wemba,170.96600000000001,,,
Emilio Tuero,140.35400000000001,,,
Rita Chiarelli,89.918999999999997,,,
Archie Bell and The Drells,100.922,,,
Firehouse,109.99299999999999,,,
Jack Johnson,141.25700000000001,,,
Lyrics Born,170.047,,,
Nicholas Hooper,155.65899999999999,,,
Justo Almario,216.55699999999999,,,