genre,point,,,
50s,178.93600000000001,,,
ambient,125.374,,,
black metal,152.59999999999999,,,
blues,106.23699999999999,,,
blues,130.36000000000001,,,
blues,106.492,,,
blues,63.262999999999998,,,
blues,124.996,,,
blues,150.94999999999999,,,
blues,103.54600000000001,,,
blues-rock,141.602,,,
boy band,140.08199999999999,,,
celtic,82.855999999999995,,,
christian,122.09999999999999,,,
christian rock,132.786,,,
classical,66.528999999999996,,,
comedy,112.194,,,
comedy,94.501000000000005,,,
comedy,80.162000000000006,,,
contemporary christian,182.24700000000001,,,
contemporary christian,94.012,,,
country,141.50999999999999,,,
country,147.928,,,
country,101.33499999999999,,,
country,109.449,,,
country,141.05199999999999,,,
country,89.093000000000004,,,
country,122.166,,,
death core,99.962999999999994,,,
drum and bass,87.527000000000001,,,
dub,111.071,,,
easy listening,88.469999999999999,,,
easy listening,165.142,,,
french pop,122.503,,,
french pop,94.992000000000004,,,
funk,142.911,,,
gospel,110.123,,,
grindcore,107.32899999999999,,,
hard rock,142.25999999999999,,,
heavy metal,200.19900000000001,,,
hip hop,83.855999999999995,,,
hip hop,108.069,,,
hip hop,90.998000000000005,,,
hip hop,118.026,,,
hip hop,40.027000000000001,,,
house,137.96000000000001,,,
indie,121.03,,,
indietronica,138.33099999999999,,,
instrumental,153.922,,,
jazz,128.27799999999999,,,
jazz,100.89,,,
jazz,119.092,,,
jazz vocal,102.16,,,
latin,140.05600000000001,,,
latin,93.376000000000005,,,
latin,102.392,,,
latin,149.767,,,
metal,120.05200000000001,,,
metal,119.98399999999999,,,
metalcore,93.457999999999998,,,
pop,107.199,,,
pop,93.981999999999999,,,
pop,121.99299999999999,,,
pop,101.37,,,
pop,129.99700000000001,,,
pop,126.711,,,
pop,159.673,,,
pop,123.438,,,
pop,103.995,,,
pop,96.111999999999995,,,
power pop,128.005,,,
punk,168.21000000000001,,,
punk,181.42099999999999,,,
r&b,106.565,,,
rap,105.532,,,
rap,151.488,,,
reggae,87.453000000000003,,,
reggae,175.62799999999999,,,
reggae,159.98599999999999,,,
reggae,98.070999999999998,,,
rock,133.339,,,
rock,113.32599999999999,,,
rock,80.454999999999998,,,
rock,171.648,,,
rock,127.006,,,
rock,144.447,,,
rock,77.926000000000002,,,
rock,188.91,,,
rock,192.06299999999999,,,
rock,82.567999999999998,,,
rock,129.887,,,
rock,96.260999999999996,,,
rock,86.103999999999999,,,
rock,152.785,,,
rock,131.91499999999999,,,
ska,205.559,,,
soundtrack,137.65799999999999,,,
tejano,104.05500000000001,,,
tejano,123.759,,,
world music,168.03899999999999,,,