genre,count,,,
pop,644,,,
reggae,305,,,
new age,129,,,
easy listening,73,,,
house,56,,,
hardcore,55,,,
classical,52,,,
ambient,39,,,
tejano,35,,,
singer-songwriter,32,,,
indie rock,32,,,
death metal,32,,,
post-punk,27,,,
techno,26,,,
grunge,26,,,
rumba,26,,,
indie pop,25,,,
digital hardcore,25,,,
alternative,23,,,
dub,19,,,
lo-fi,17,,,
cabaret,16,,,
chanson francaise,16,,,
german hip hop,14,,,
industrial,13,,,
pop punk,12,,,
instrumental,12,,,
alternative metal,12,,,
ccm,11,,,
madchester,10,,,
doom metal,10,,,
deathrock,9,,,
progressive rock,9,,,
ragtime,9,,,
reggaeton,8,,,
melodic death metal,7,,,
downtempo,7,,,
americana,7,,,
industrial rock,7,,,
sludge,6,,,
30s,6,,,
shoegaze,6,,,
lounge,6,,,
chinese music,5,,,
choral music,5,,,
arabic pop,5,,,
thrash metal,5,,,
remix,5,,,
viking metal,5,,,
cumbia,5,,,
pop rock,5,,,
nu metal,4,,,
gothic,4,,,
synthpop,4,,,
country gospel,4,,,
60s,4,,,
renaissance,4,,,
alternative pop,4,,,
southern rock,4,,,
minimal techno,3,,,
electropop,3,,,
country rock,3,,,
hard trance,3,,,
sludge metal,3,,,
noise rock,3,,,
german rap,3,,,
pub rock,3,,,
gothic rock,3,,,
thrash core,2,,,
desert blues,2,,,
traditional pop,2,,,
glam rock,2,,,
polish black metal,2,,,
ethnic fusion,2,,,
drone metal,2,,,
polka,2,,,
jungle music,2,,,
deep house,2,,,
death/doom metal,2,,,
swedish punk,2,,,
visual kei,2,,,
dance pop,2,,,
jam band,1,,,
art rock,1,,,
neofolk,1,,,
rock 'n roll,1,,,
acid house,1,,,
pop folk,1,,,
latin soul,1,,,
ska punk,1,,,
spanish folk,1,,,
west coast rap,1,,,
german rock,1,,,
rapcore,1,,,
ballad,1,,,
adult alternative,1,,,
bubblegum dance,1,,,
hardcore punk,1,,,
album rock,1,,,
experimental rap,1,,,